fips,gini_index
1,0.4815
42,0.4705
42101,0.5215
42101024400,0.5426
42101035900,0.4375
42101036201,0.3886
42101036202,0.4492
42101010600,0.5851
42101024600,0.4404
42101024900,0.4466
42101025800,0.3738
42101026500,0.4235
42101026700,0.5553
42101034000,0.3425
42101026800,0.4967
42101031900,0.4288
42101033000,0.424
42101034600,0.4043
42101034801,0.426
42101006100,0.4973
42101008400,0.404
42101009000,0.641
42101010200,0.5133
42101010900,0.558
42101014200,0.4232
42101016100,0.4846
42101016901,0.5315
42101017400,0.5025
42101025900,0.4189
42101029000,0.4368
42101030100,0.4713
42101013700,0.5464
42101011500,0.3803
42101012000,0.4127
42101012100,0.4855
42101016600,0.5867
42101017602,0.4827
42101017300,0.6048
42101017500,0.5507
42101025300,0.4324
42101023800,0.4192
42101025200,0.4113
42101026200,0.4193
42101027300,0.4871
42101028400,0.5382
42101028600,0.5304
42101000100,0.4203
42101001300,0.464
42101030700,0.4453
42101031200,0.4869
42101023100,0.4407
42101023500,0.553
42101004001,0.4694
42101001900,0.4522
42101003100,0.4901
42101003200,0.4777
42101006200,0.4892
42101007200,0.4174
42101007400,0.6171
42101009200,0.5363
42101016400,0.6126
42101031502,0.405
42101031401,0.4228
42101033701,0.4627
42101033702,0.4315
42101027901,0.4641
42101031402,0.4298
42101016701,0.5852
42101016702,0.5619
42101027902,0.4622
42101008101,0.4731
42101980300,
42101036900,0.6657
42101037300,0.4625
42101037200,0.4684
42101038300,0.4778
42101039000,0.4794
42101037800,0.5058
42101037700,0.5366
42101008701,0.4437
42101008102,0.4404
42101008602,0.4125
42101037500,0.5215
42101980800,
42101018002,0.4417
42101008801,0.7253
42101980100,0.4036
42101007102,0.415
42101008802,0.6141
42101008702,0.5231
42101012201,0.5459
42101009801,0.4547
42101007101,0.4268
42101002801,0.4348
42101980500,
42101000801,0.4572
42101001101,0.4779
42101027402,0.4389
42101008601,0.509
42101036502,0.3739
42101036700,0.4543
42101037600,0.5217
42101038600,0.5202
42101038900,0.525
42101038500,0.5772
42101038700,0.445
42101038800,0.5372
42101980000,0.4527
42101010000,0.4398
42101010100,0.434
42101010700,0.5311
42101013300,0.4797
42101013500,0.4862
42101014300,0.4357
42101014600,0.4709
42101016902,0.4734
42101017100,0.4921
42101000700,0.5913
42101001800,0.4561
42101002100,0.4605
42101025700,0.4285
42101021100,0.4085
42101026100,0.4598
42101027200,0.3884
42101027500,0.4667
42101028000,0.5166
42101029400,0.4059
42101030000,0.4608
42101018800,0.455
42101019100,0.3963
42101019200,0.4462
42101001700,0.4521
42101002500,0.5197
42101003300,0.4866
42101004002,0.4291
42101004201,0.4376
42101005600,0.5416
42101006700,0.4615
42101007000,0.4014
42101008000,0.5386
42101028800,0.5385
42101029800,0.4661
42101030900,0.4078
42101032000,0.4131
42101034200,0.4164
42101001500,0.495
42101002900,0.5071
42101003702,0.4118
42101014000,0.4913
42101014100,0.5998
42101014400,0.4851
42101015200,0.5081
42101015300,0.564
42101015700,0.4371
42101016000,0.4097
42101016800,0.5648
42101020200,0.5442
42101020300,0.4982
42101020800,0.6071
42101020900,0.41
42101020700,0.4658
42101018400,0.4339
42101014800,0.5075
42101014900,0.5487
42101011300,0.4768
42101011400,0.4835
42101011700,0.4956
42101013100,0.5497
42101013800,0.4797
42101016200,0.565
42101017900,0.3785
42101018300,0.3808
42101019000,0.4852
42101020600,0.6164
42101021500,0.4063
42101021600,0.4315
42101022000,0.3754
42101000200,0.6395
42101000600,0.4699
42101002200,0.4735
42101002300,0.4324
42101004101,0.4521
42101004202,0.4024
42101005500,0.4095
42101006900,0.501
42101007700,0.4788
42101011000,0.5399
42101011200,0.4869
42101004102,0.3808
42101015800,0.4117
42101009400,0.5787
42101009500,0.5197
42101036301,0.3678
42101035302,0.3855
42101035500,0.5294
42101036203,0.368
42101036400,0.4686
42101020500,0.5271
42101021800,0.406
