fips,car_truck_van,public_transit_total,bus,trolley,subway,railroad,ferryboat,taxicab,motorcycle,bicycle,walked,other_means,worked_at_home
42101001900,669.0,465.0,408.0,0.0,44.0,13.0,0.0,0.0,0.0,222.0,748.0,11.0,144.0
42101003100,780.0,782.0,730.0,0.0,52.0,0.0,0.0,20.0,0.0,158.0,60.0,0.0,46.0
42101003200,697.0,852.0,789.0,9.0,54.0,0.0,0.0,0.0,0.0,95.0,11.0,0.0,0.0
42101006200,965.0,783.0,731.0,40.0,12.0,0.0,0.0,0.0,13.0,0.0,9.0,29.0,0.0
42101007200,643.0,532.0,482.0,42.0,0.0,8.0,0.0,3.0,0.0,12.0,165.0,19.0,57.0
42101007400,842.0,701.0,575.0,43.0,83.0,0.0,0.0,6.0,0.0,12.0,145.0,0.0,64.0
42101009200,316.0,551.0,439.0,0.0,112.0,0.0,0.0,0.0,0.0,78.0,157.0,17.0,56.0
42101016400,519.0,272.0,148.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,67.0
42101031502,1350.0,271.0,175.0,0.0,88.0,8.0,0.0,0.0,11.0,0.0,20.0,0.0,66.0
42101031401,2428.0,808.0,587.0,25.0,162.0,34.0,0.0,0.0,0.0,47.0,82.0,172.0,0.0
42101033701,1782.0,363.0,194.0,0.0,125.0,44.0,0.0,0.0,0.0,0.0,0.0,48.0,39.0
42101033702,2329.0,363.0,160.0,20.0,103.0,80.0,0.0,0.0,0.0,0.0,26.0,65.0,33.0
42101027901,859.0,645.0,504.0,0.0,115.0,26.0,0.0,0.0,13.0,0.0,67.0,0.0,46.0
42101031402,2070.0,446.0,401.0,10.0,26.0,9.0,0.0,0.0,0.0,0.0,62.0,8.0,15.0
42101016701,240.0,372.0,334.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,51.0,7.0,0.0
42101016702,330.0,458.0,386.0,11.0,32.0,29.0,0.0,0.0,0.0,0.0,38.0,0.0,16.0
42101027902,680.0,229.0,171.0,0.0,47.0,11.0,0.0,0.0,0.0,0.0,278.0,15.0,141.0
42101008101,426.0,408.0,275.0,9.0,96.0,28.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
42101980300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42101036900,345.0,307.0,86.0,0.0,37.0,184.0,0.0,0.0,0.0,47.0,962.0,12.0,163.0
42101037300,1992.0,820.0,433.0,0.0,329.0,58.0,0.0,0.0,0.0,62.0,53.0,0.0,64.0
42101037200,1231.0,728.0,430.0,79.0,219.0,0.0,0.0,0.0,0.0,71.0,162.0,20.0,61.0
42101038300,443.0,195.0,158.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,9.0
42101039000,2026.0,703.0,586.0,0.0,101.0,16.0,0.0,0.0,0.0,0.0,190.0,97.0,163.0
42101037800,855.0,326.0,168.0,0.0,133.0,25.0,0.0,0.0,35.0,77.0,58.0,10.0,67.0
42101037700,645.0,403.0,323.0,0.0,46.0,34.0,0.0,0.0,0.0,0.0,419.0,0.0,97.0
42101008701,808.0,781.0,258.0,38.0,433.0,52.0,0.0,35.0,0.0,171.0,618.0,0.0,26.0
42101008102,982.0,777.0,530.0,11.0,215.0,21.0,0.0,11.0,0.0,0.0,74.0,0.0,30.0
42101008602,390.0,707.0,324.0,0.0,321.0,62.0,0.0,0.0,0.0,82.0,50.0,0.0,14.0
42101037500,1080.0,189.0,79.0,0.0,22.0,88.0,0.0,0.0,0.0,8.0,104.0,16.0,116.0
42101980800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42101018002,1950.0,311.0,260.0,0.0,51.0,0.0,0.0,30.0,0.0,30.0,137.0,0.0,32.0
42101008801,53.0,41.0,22.0,0.0,19.0,0.0,0.0,0.0,0.0,9.0,445.0,4.0,98.0
42101980100,38.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
42101007102,908.0,717.0,620.0,50.0,47.0,0.0,0.0,0.0,0.0,11.0,29.0,0.0,19.0
42101008802,155.0,434.0,189.0,81.0,164.0,0.0,0.0,0.0,3.0,84.0,1183.0,52.0,108.0
42101008702,294.0,301.0,149.0,49.0,103.0,0.0,0.0,0.0,0.0,223.0,649.0,17.0,64.0
42101012201,940.0,275.0,234.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,10.0
42101009801,765.0,347.0,331.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,28.0
42101007101,380.0,331.0,274.0,26.0,31.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,7.0
42101002801,957.0,762.0,519.0,0.0,193.0,50.0,0.0,8.0,9.0,175.0,349.0,0.0,48.0
42101980500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42101000801,269.0,60.0,19.0,0.0,21.0,20.0,0.0,0.0,0.0,50.0,451.0,7.0,41.0
42101001101,500.0,553.0,153.0,47.0,273.0,80.0,0.0,16.0,7.0,95.0,834.0,0.0,234.0
42101027402,1843.0,878.0,830.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,37.0,34.0,12.0
42101008601,475.0,772.0,351.0,21.0,352.0,48.0,0.0,20.0,0.0,99.0,360.0,0.0,109.0
42101036502,1793.0,165.0,21.0,0.0,0.0,144.0,0.0,0.0,0.0,2.0,15.0,11.0,8.0
42101036700,1195.0,367.0,55.0,0.0,272.0,40.0,0.0,39.0,8.0,100.0,281.0,11.0,144.0
42101037600,496.0,374.0,127.0,14.0,200.0,33.0,0.0,10.0,8.0,53.0,512.0,0.0,53.0
42101038600,453.0,73.0,5.0,0.0,8.0,60.0,0.0,0.0,0.0,0.0,5.0,0.0,77.0
42101038900,702.0,285.0,203.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,48.0,0.0,87.0
42101038500,596.0,110.0,0.0,0.0,37.0,73.0,0.0,0.0,0.0,11.0,60.0,6.0,38.0
42101038700,594.0,212.0,37.0,0.0,48.0,127.0,0.0,0.0,0.0,3.0,165.0,11.0,172.0
42101038800,1262.0,483.0,87.0,0.0,34.0,362.0,0.0,0.0,0.0,19.0,43.0,12.0,249.0
42101980000,69.0,38.0,29.0,0.0,5.0,4.0,0.0,0.0,28.0,20.0,57.0,0.0,15.0
42101010000,1177.0,621.0,546.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0
42101010100,1243.0,1867.0,1667.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0
42101010700,243.0,522.0,470.0,0.0,52.0,0.0,0.0,0.0,0.0,10.0,65.0,64.0,0.0
42101013300,697.0,482.0,202.0,0.0,280.0,0.0,0.0,18.0,0.0,143.0,279.0,16.0,110.0
42101013500,1196.0,387.0,300.0,0.0,70.0,17.0,0.0,0.0,0.0,105.0,423.0,27.0,86.0
42101014300,720.0,243.0,44.0,0.0,173.0,26.0,0.0,0.0,0.0,66.0,58.0,4.0,20.0
42101014600,564.0,414.0,278.0,17.0,96.0,23.0,0.0,0.0,0.0,24.0,272.0,7.0,51.0
42101016902,623.0,582.0,582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42101017100,754.0,637.0,584.0,0.0,22.0,31.0,0.0,0.0,0.0,0.0,76.0,44.0,39.0
42101000700,562.0,572.0,279.0,0.0,105.0,188.0,0.0,17.0,0.0,49.0,820.0,19.0,59.0
42101001800,719.0,278.0,139.0,0.0,108.0,31.0,0.0,51.0,0.0,279.0,583.0,14.0,138.0
42101002100,518.0,422.0,317.0,5.0,90.0,10.0,0.0,0.0,5.0,32.0,176.0,5.0,108.0
42101025700,1401.0,440.0,32.0,0.0,57.0,351.0,0.0,9.0,0.0,27.0,79.0,37.0,82.0
42101021100,1006.0,328.0,185.0,0.0,29.0,114.0,0.0,0.0,0.0,12.0,72.0,8.0,63.0
42101026100,935.0,297.0,205.0,0.0,32.0,60.0,0.0,24.0,0.0,0.0,33.0,18.0,25.0
42101027200,1405.0,623.0,394.0,0.0,143.0,86.0,0.0,0.0,0.0,0.0,26.0,7.0,42.0
42101027500,1274.0,555.0,427.0,0.0,82.0,46.0,0.0,0.0,0.0,0.0,0.0,24.0,40.0
